Plot,Tag,N.seed,h1,Age
TOA,227,7,4.2,14
TOA,227,7,4.2,14
TOA,227,5,4.2,14
TOA,227,7,4.2,14
TOA,227,6,4.2,14
TOA,227,6,4.2,14
TOA,227,6,4.2,14
TOA,312,6,5.94,14
TOA,312,8,5.94,14
TOA,312,6,5.94,14
TOA,312,4,5.94,14
TOA,312,3,5.94,14
TOA,312,4,5.94,14
TOA,312,7,5.94,14
TOA,312,3,5.94,14
TOA,312,5,5.94,14
TOA,312,8,5.94,14
TOA,312,7,5.94,14
TOA,312,4,5.94,14
TOA,238,4,5.65,14
TOA,238,3,5.65,14
TOA,238,5,5.65,14
TOA,238,3,5.65,14
TOA,238,3,5.65,14
TOA,238,3,5.65,14
TOA,238,6,5.65,14
TOA,238,1,5.65,14
TOA,238,6,5.65,14
TOA,238,4,5.65,14
TOA,238,7,5.65,14
TOA,238,7,5.65,14
TOA,238,3,5.65,14
TOA,238,3,5.65,14
TOA,238,4,5.65,14
ESS,807,5,5.62,30
ESS,807,3,5.62,30
ESS,807,4,5.62,30
ESS,807,2,5.62,30
ESS,807,8,5.62,30
ESS,807,2,5.62,30
ESS,807,10,5.62,30
ESS,807,5,5.62,30
ESS,807,8,5.62,30
ESS,807,5,5.62,30
ESS,807,5,5.62,30
ESS,807,5,5.62,30
ESS,807,5,5.62,30
ESS,807,4,5.62,30
ESS,807,5,5.62,30
ESS,807,5,5.62,30
ESS,807,3,5.62,30
ESS,807,3,5.62,30
ESS,807,3,5.62,30
ESS,764,5,7.77,30
ESS,764,6,7.77,30
ESS,764,4,7.77,30
ISP,649,4,6.92,37
ISP,649,4,6.92,37
ISC,483,3,6.5,31
ISC,483,6,6.5,31
ISC,483,5,6.5,31
ISC,483,5,6.5,31
ISC,483,5,6.5,31
RIC,889,6,7.2,46
RIC,889,5,7.2,46
RIC,889,5,7.2,46
TOB,394,4,4.92,15
TOB,394,4,4.92,15
TOB,394,3,4.92,15
TOB,394,4,4.92,15
TOB,394,3,4.92,15
TOB,394,2,4.92,15
TOB,394,4,4.92,15
TOB,394,3,4.92,15
TOB,394,3,4.92,15
TOB,394,2,4.92,15
TOB,394,5,4.92,15
TOB,394,5,4.92,15
TOB,394,3,4.92,15
TOB,394,6,4.92,15
TOB,394,2,4.92,15
TOB,394,4,4.92,15
RIC,966,5,5.75,46
RIC,966,5,5.75,46
RIC,966,2,5.75,46
RIC,966,2,5.75,46
DIA,X012,7,5.15,21
DIA,X012,2,5.15,21
DIA,X012,2,5.15,21
DIA,X012,4,5.15,21
DIA,X012,4,5.15,21
DIA,X012,1,5.15,21
DIA,94,3,5.79,21
DIA,94,5,5.79,21
DIA,94,7,5.79,21
DIA,94,4,5.79,21
DIA,94,1,5.79,21
ISC,488,2,3.7,31
